DMNCD,INDCD,YEAR,VALUE,UNIT,LA,REAL_IMP
BIODIV,BIODIV1,2015,9.04,Percentage,Glasgow,Imputed
BIODIV,BIODIV1,2016,9.04,Percentage,Glasgow,Imputed
BIODIV,BIODIV1,2017,9.04,Percentage,Glasgow,Imputed
BIODIV,BIODIV1,2018,9.04,Percentage,Glasgow,Imputed
BIODIV,BIODIV1,2019,9.04,Percentage,Glasgow,Imputed
BIODIV,BIODIV1,2020,9.04,Percentage,Glasgow,Imputed
BIODIV,BIODIV1,2021,9.04,Percentage,Glasgow,Imputed
BIODIV,BIODIV1,2022,9.04,Percentage,Glasgow,Imputed
BIODIV,BIODIV1,2023,9.04,Percentage,Glasgow,Real
BIODIV,BIODIV1,2024,9.04,Percentage,Glasgow,Imputed
BIODIV,BIODIV2,2015,50,Percentage,Glasgow,Imputed
BIODIV,BIODIV2,2016,50,Percentage,Glasgow,Imputed
BIODIV,BIODIV2,2017,50,Percentage,Glasgow,Imputed
BIODIV,BIODIV2,2018,50,Percentage,Glasgow,Imputed
BIODIV,BIODIV2,2019,50,Percentage,Glasgow,Imputed
BIODIV,BIODIV2,2020,50,Percentage,Glasgow,Imputed
BIODIV,BIODIV2,2021,50,Percentage,Glasgow,Imputed
BIODIV,BIODIV2,2022,50,Percentage,Glasgow,Imputed
BIODIV,BIODIV2,2023,50,Percentage,Glasgow,Imputed
BIODIV,BIODIV2,2024,50,Percentage,Glasgow,Imputed
BLDSOL,BLDSOL1,2015,-0.1,Index,Glasgow,Imputed
BLDSOL,BLDSOL1,2016,-0.1,Index,Glasgow,Imputed
BLDSOL,BLDSOL1,2017,-0.1,Index,Glasgow,Imputed
BLDSOL,BLDSOL1,2018,-0.1,Index,Glasgow,Real
BLDSOL,BLDSOL1,2019,-0.12,Index,Glasgow,Real
BLDSOL,BLDSOL1,2020,-0.11,Index,Glasgow,Real
BLDSOL,BLDSOL1,2021,-0.12,Index,Glasgow,Real
BLDSOL,BLDSOL1,2022,-0.14,Index,Glasgow,Real
BLDSOL,BLDSOL1,2023,-0.12,Index,Glasgow,Real
BLDSOL,BLDSOL1,2024,-0.09,Index,Glasgow,Real
BLDSOL,BLDSOL2,2015,6.49,Percentage,Glasgow,Real
BLDSOL,BLDSOL2,2016,6.3,Percentage,Glasgow,Real
BLDSOL,BLDSOL2,2017,6.06,Percentage,Glasgow,Real
BLDSOL,BLDSOL2,2018,5.7,Percentage,Glasgow,Real
BLDSOL,BLDSOL2,2019,5.41,Percentage,Glasgow,Real
BLDSOL,BLDSOL2,2020,5.2,Percentage,Glasgow,Imputed
BLDSOL,BLDSOL2,2021,4.99,Percentage,Glasgow,Real
BLDSOL,BLDSOL2,2022,4.81,Percentage,Glasgow,Real
BLDSOL,BLDSOL2,2023,4.73,Percentage,Glasgow,Real
BLDSOL,BLDSOL2,2024,4.43,Percentage,Glasgow,Real
CLAIR,CLAIR1A,2015,7.51,�g/m3,Glasgow,Real
CLAIR,CLAIR1A,2016,7.43,�g/m3,Glasgow,Real
CLAIR,CLAIR1A,2017,7.36,�g/m3,Glasgow,Real
CLAIR,CLAIR1A,2018,7.37,�g/m3,Glasgow,Real
CLAIR,CLAIR1A,2019,7.56,�g/m3,Glasgow,Real
CLAIR,CLAIR1A,2020,5.41,�g/m3,Glasgow,Real
CLAIR,CLAIR1A,2021,5.69,�g/m3,Glasgow,Real
CLAIR,CLAIR1A,2022,6.26,�g/m3,Glasgow,Real
CLAIR,CLAIR1A,2023,5.6,�g/m3,Glasgow,Real
CLAIR,CLAIR1A,2024,6.09,�g/m3,Glasgow,Real
CLAIR,CLAIR1B,2015,14.1,�g/m3,Glasgow,Real
CLAIR,CLAIR1B,2016,13.67,�g/m3,Glasgow,Real
CLAIR,CLAIR1B,2017,13.8,�g/m3,Glasgow,Real
CLAIR,CLAIR1B,2018,13.28,�g/m3,Glasgow,Real
CLAIR,CLAIR1B,2019,13.04,�g/m3,Glasgow,Real
CLAIR,CLAIR1B,2020,9.99,�g/m3,Glasgow,Real
CLAIR,CLAIR1B,2021,10.48,�g/m3,Glasgow,Real
CLAIR,CLAIR1B,2022,11.38,�g/m3,Glasgow,Real
CLAIR,CLAIR1B,2023,10.31,�g/m3,Glasgow,Real
CLAIR,CLAIR1B,2024,10.52,�g/m3,Glasgow,Real
CLAIR,CLAIR1C,2015,36.76,�g/m3,Glasgow,Real
CLAIR,CLAIR1C,2016,36.92,�g/m3,Glasgow,Real
CLAIR,CLAIR1C,2017,34.84,�g/m3,Glasgow,Real
CLAIR,CLAIR1C,2018,32.67,�g/m3,Glasgow,Real
CLAIR,CLAIR1C,2019,32.51,�g/m3,Glasgow,Real
CLAIR,CLAIR1C,2020,22.45,�g/m3,Glasgow,Real
CLAIR,CLAIR1C,2021,26.19,�g/m3,Glasgow,Real
CLAIR,CLAIR1C,2022,23.78,�g/m3,Glasgow,Real
CLAIR,CLAIR1C,2023,20.92,�g/m3,Glasgow,Real
CLAIR,CLAIR1C,2024,20.12,�g/m3,Glasgow,Real
CLAIR,CLAIR2,2015,6.66,�g/m3,Glasgow,Real
CLAIR,CLAIR2,2016,6.33,�g/m3,Glasgow,Real
CLAIR,CLAIR2,2017,6.57,�g/m3,Glasgow,Real
CLAIR,CLAIR2,2018,6.5,�g/m3,Glasgow,Real
CLAIR,CLAIR2,2019,6.24,�g/m3,Glasgow,Real
CLAIR,CLAIR2,2020,4.69,�g/m3,Glasgow,Real
CLAIR,CLAIR2,2021,4.68,�g/m3,Glasgow,Real
CLAIR,CLAIR2,2022,5.22,�g/m3,Glasgow,Real
CLAIR,CLAIR2,2023,4.78,�g/m3,Glasgow,Real
CLAIR,CLAIR2,2024,5.24,�g/m3,Glasgow,Real
COMM,COMM1,2015,15.99,Percentage,Glasgow,Real
COMM,COMM1,2016,19.19,Percentage,Glasgow,Real
COMM,COMM1,2017,16.96,Percentage,Glasgow,Real
COMM,COMM1,2018,18.47,Percentage,Glasgow,Real
COMM,COMM1,2019,21.42,Percentage,Glasgow,Real
COMM,COMM1,2020,21.63,Percentage,Glasgow,Real
COMM,COMM1,2021,22.14,Percentage,Glasgow,Real
COMM,COMM1,2022,14.74,Percentage,Glasgow,Real
COMM,COMM1,2023,16.42,Percentage,Glasgow,Imputed
COMM,COMM1,2024,18.11,Percentage,Glasgow,Imputed
COMM,COMM2,2015,90.77,Percentage,Glasgow,Real
COMM,COMM2,2016,93.14,Percentage,Glasgow,Real
COMM,COMM2,2017,92.27,Percentage,Glasgow,Real
COMM,COMM2,2018,92.51,Percentage,Glasgow,Real
COMM,COMM2,2019,92.89,Percentage,Glasgow,Real
COMM,COMM2,2020,95.32,Percentage,Glasgow,Real
COMM,COMM2,2021,92.25,Percentage,Glasgow,Real
COMM,COMM2,2022,92.19,Percentage,Glasgow,Real
COMM,COMM2,2023,91.08,Percentage,Glasgow,Imputed
COMM,COMM2,2024,89.98,Percentage,Glasgow,Imputed
COMM,COMM3,2015,66.75,Percentage,Glasgow,Imputed
COMM,COMM3,2016,66.75,Percentage,Glasgow,Imputed
COMM,COMM3,2017,66.75,Percentage,Glasgow,Imputed
COMM,COMM3,2018,66.75,Percentage,Glasgow,Imputed
COMM,COMM3,2019,66.75,Percentage,Glasgow,Real
COMM,COMM3,2020,66.78,Percentage,Glasgow,Imputed
COMM,COMM3,2021,66.8,Percentage,Glasgow,Real
COMM,COMM3,2022,75.1,Percentage,Glasgow,Real
COMM,COMM3,2023,80.93,Percentage,Glasgow,Real
COMM,COMM3,2024,70.15,Percentage,Glasgow,Real
